lat(degree),lon(degree),time(h),sntmt_AFINN(_),sntmt_NLTK_comp(_),sntmt_NLTK_neg(_),sntmt_NLTK_neu(_),sntmt_NLTK_pos(_),temp(C),temp_max(C),temp_min(C),humidity(%),pressure(hPa),sky(__),sunrise(h),sunset(h),wind(m/s),wind_deg(degree),cloudiness(%),rain_3h(mm),snow_3h(mm)
29.7805,-95.3863,18.995,-5,-0.5859,0.275,0.725,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
34.0194,-118.4108,16.9955555556,15,0.88865,0.0,0.425,0.575,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
39.9848,-82.985,19.9961111111,11,0.227025,0.0,0.8075,0.1925,20.89,22,19,46,1017,Clouds,6.88333333333,20.2166666667,5.7,10,90,nan,nan
36.2277,-115.264,16.9966666667,1,0.4404,0.0,0.868,0.132,32,32,32,31,1011,Rain,9.1,22.2833333333,4.1,80,0,0.89,nan
34.0194,-118.4108,16.9966666667,-7,-0.5238,0.486,0.514,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
29.7805,-95.3863,18.9966666667,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
29.4724,-98.5251,18.9966666667,0,0.0,0.0,1.0,0.0,29.5,31,28,74,1009,Thunderstorm,8.11666666667,21.05,6.7,120,75,nan,nan
39.3002,-76.6105,19.9966666667,0,0.0,0.0,1.0,0.0,23.7,27,20,60,1015,Clouds,6.46666666667,19.7833333333,2.61,300.502,75,nan,nan
35.1035,-89.9785,18.9969444444,0,0.0,0.0,1.0,0.0,27.19,28,26,42,1015,Clouds,7.45,20.5833333333,4.1,50,20,nan,nan
34.0194,-118.4108,16.9972222222,-5,-0.6808,1.0,0.0,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
34.0194,-118.4108,16.9977777778,0,-0.4404,0.244,0.756,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
30.3072,-97.756,18.9980555556,1,-0.11175,0.0795,0.9205,0.0,30.46,32,29,62,1011,Clouds,8.05,21.0166666667,4.6,130,90,nan,nan
29.4724,-98.5251,18.9983333333,1,0.3818,0.072,0.773,0.155,29.5,31,28,74,1009,Thunderstorm,8.11666666667,21.05,6.7,120,75,nan,nan
34.0194,-118.4108,17.0,0,0.3612,0.0,0.857,0.143,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
34.0194,-118.4108,17.0,-4,-0.5574,0.194,0.806,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
40.6643,-73.9385,20.0,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
40.6643,-73.9385,20.0002777778,-5,-0.25935,0.133,0.867,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
41.8376,-87.6818,19.0002777778,0,-0.4404,0.225,0.775,0.0,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
34.0194,-118.4108,17.0002777778,-2,0.1027,0.179,0.617,0.204,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
40.6643,-73.9385,20.0005555556,0,0.34,0.0,0.862,0.138,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
32.8153,-117.135,17.0005555556,3,0.7096,0.0,0.688,0.312,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
40.6643,-73.9385,20.0019444444,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
42.332,-71.0202,20.0025,0,0.0,0.0,1.0,0.0,22.01,24,20,72,1013,Clear,6.03333333333,19.4833333333,1.81,147.502,1,nan,nan
40.6643,-73.9385,20.0025,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
35.1035,-89.9785,19.0027777778,3,0.4215,0.0,0.263,0.737,27.19,28,26,42,1015,Clouds,7.45,20.5833333333,4.1,50,20,nan,nan
29.7805,-95.3863,19.0027777778,-5,-0.9117,0.643,0.357,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
40.6643,-73.9385,20.0027777778,-1,0.1779,0.218,0.495,0.287,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
35.1035,-89.9785,19.0027777778,-3,-0.4939,0.247,0.649,0.104,26.83,28,25,61,1015,Clear,7.45,20.5833333333,2.6,20,0,nan,nan
34.0194,-118.4108,17.0027777778,0,0.0,0.0,1.0,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
40.0094,-75.1333,20.0030555556,-4,-0.0510333333333,0.0763333333333,0.864333333333,0.0593333333333,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
42.332,-71.0202,20.0030555556,0,0.0,0.0,1.0,0.0,22.01,24,20,72,1013,Clear,6.03333333333,19.4833333333,1.81,147.502,1,nan,nan
38.9041,-77.0171,20.0033333333,-2,0.05695,0.0,0.9145,0.0855,23.72,27,20,68,1015,Clouds,6.51666666667,19.8,2.61,300.502,40,nan,nan
35.2087,-80.8307,20.0038888889,1,0.0917,0.076,0.5805,0.344,27.33,28,27,74,1013,Clear,6.83333333333,19.9833333333,2.1,40,1,nan,nan
39.3002,-76.6105,20.0041666667,3,0.08975,0.088,0.6755,0.2365,23.7,27,20,60,1015,Clouds,6.46666666667,19.7833333333,2.61,300.502,75,nan,nan
34.0194,-118.4108,17.0041666667,0,0.0,0.0,1.0,0.0,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
